date,campaign,cost
2026-04-02,Search_Matwork,85.162509
2026-04-03,Search_Matwork,80.158196
2026-04-04,Search_Matwork,83.047583
2026-04-05,Search_Matwork,82.893469
2026-04-06,Search_Matwork,88.103256
2026-04-07,Search_Matwork,79.486684
2026-04-08,Search_Matwork,55.007590
2026-04-09,Search_Matwork,71.895853
2026-04-10,Search_Matwork,122.828713
2026-04-11,Search_Matwork,81.353768
2026-04-12,Search_Matwork,85.839042
2026-04-13,Search_Matwork,84.121040
2026-04-14,Pmax_Matwork,79.813125
2026-04-14,Search_Matwork,90.596483
2026-04-15,Pmax_Matwork,78.141935
2026-04-15,Search_Matwork,77.838474
2026-04-16,Pmax_Matwork,80.483205
2026-04-16,Search_Matwork,91.261505
2026-04-17,Pmax_Matwork,79.702940
2026-04-17,Search_Matwork,77.276241
2026-04-18,Pmax_Matwork,79.605531
2026-04-18,Search_Matwork,39.440515
2026-04-19,Pmax_Matwork,95.370262
2026-04-19,Search_Matwork,60.422539
2026-04-20,Pmax_Matwork,80.577387
2026-04-20,Search_Matwork,130.550126
2026-04-21,Pmax_Matwork,66.727517
2026-04-21,Search_Matwork,83.181867
2026-04-22,Pmax_Matwork,81.073662
2026-04-22,Search_Matwork,77.731003
2026-04-23,Pmax_Matwork,86.158459
2026-04-23,Search_Matwork,67.197584
2026-04-24,Pmax_Matwork,75.320059
2026-04-24,Search_Matwork,60.890251
2026-04-25,Pmax_Matwork,97.110459
2026-04-25,Search_Matwork,72.513622
2026-04-26,Pmax_Matwork,85.344920
2026-04-26,Search_Matwork,73.189238
2026-04-27,Pmax_Matwork,71.576841
2026-04-27,Search_Matwork,103.035640
2026-04-28,Pmax_Matwork,79.047960
2026-04-28,Search_Matwork,73.980938
2026-04-29,Pmax_Matwork,74.561577
2026-04-29,Search_Matwork,73.020484
2026-04-30,Pmax_Matwork,69.564932
2026-04-30,Search_Matwork,68.907871
2026-05-01,Pmax_Matwork,76.193188
2026-05-01,Search_Matwork,63.099327
2026-05-02,Pmax_Matwork,77.066242
2026-05-02,Search_Matwork,76.551447
2026-05-03,Pmax_Matwork,87.503555
2026-05-03,Search_Matwork,90.257086
2026-05-04,Pmax_Matwork,72.449534
2026-05-04,Search_Matwork,108.812674
2026-05-05,Pmax_Matwork,81.580464
2026-05-05,Search_Matwork,94.581354
2026-05-06,Pmax_Matwork,76.387430
2026-05-06,Search_Matwork,73.031205
2026-05-07,Pmax_Matwork,81.401503
2026-05-07,Search_Matwork,92.169379
2026-05-08,Pmax_Matwork,71.144085
2026-05-08,Search_Matwork,71.978239
2026-05-09,Pmax_Matwork,123.085858
2026-05-09,Search_Matwork,15.182313
2026-05-10,Pmax_Matwork,97.733990
2026-05-10,Search_Matwork,25.558341
2026-05-11,Pmax_Matwork,74.851949
2026-05-11,Search_Matwork,109.651145
2026-05-12,Pmax_Matwork,67.542062
2026-05-12,Search_Matwork,154.278647
2026-05-13,Pmax_Matwork,68.169885
2026-05-13,Search_Matwork,101.379827
2026-05-14,Pmax_Matwork,74.599785
2026-05-14,Search_Matwork,97.704072
2026-05-15,Pmax_Matwork,85.266571
2026-05-15,Search_Matwork,66.855650
